id,name,nasaJplUrl,absoluteMagnitude,estimatedDiameterMinKm,estimatedDiameterMaxKm,isPotentiallyHazardous,isSentryObject,closeApproachDate,closeApproachVelocityKmh,missDistanceKm,orbitingBody
2214088,214088 (2004 JN13),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2214088,15.34,2.2727673228,5.0820622309,False,False,1910-02-07,20661.9397722953,193858245.293784107,Juptr
2215188,215188 (2000 NM),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2215188,15.48,2.1308602925,4.7647484646,False,False,2000-07-12,62115.4875441406,20869512.401521315,Earth
2215442,215442 (2002 MQ3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2215442,18.53,0.5230641758,1.1696070537,False,False,1900-10-31,81536.1692664798,7920591.112632192,Venus
2215588,215588 (2003 HF2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2215588,19.42,0.3471802221,0.776318577,True,False,1900-11-18,42628.0238475818,9978429.417979257,Merc
2216985,216985 (2000 QK130),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2216985,21.34,0.1434019235,0.320656449,True,False,1902-03-06,40983.2409440455,18403295.562497497,Earth
2217013,217013 (2001 AA50),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2217013,18.8,0.4619074603,1.0328564805,False,False,1916-01-24,75700.3220393184,73646640.756082069,Earth
2217430,217430 (2005 SN25),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2217430,19.55,0.3270054393,0.7312063912,True,False,1900-02-10,61576.7610438428,44944254.865550069,Earth
2217807,217807 (2000 XK44),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2217807,18.37,0.5630603897,1.2590413069,False,False,1932-11-07,28654.0039491272,12425617.004024826,Earth
2217837,217837 (2001 LC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2217837,19.27,0.3720103103,0.8318403423,False,False,1901-08-22,68409.3531718508,5176494.240431703,Merc
2221455,221455 (2006 BC10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2221455,19.52,0.3315545381,0.7413784854,True,False,1904-01-31,61569.5919888838,3599420.868831475,Mars
2221787,221787 (2007 VZ30),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2221787,21.28,0.1474195145,0.3296400556,False,False,1930-06-29,24753.0876140814,12978958.01298112,Mars
2221980,221980 (1996 EO),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2221980,19.11,0.4004561582,0.8954471917,True,False,1901-03-03,92176.9146382118,73197715.784192422,Earth
2222869,222869 (2002 FB6),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2222869,17.75,0.7491261831,1.6750970692,False,False,1932-09-19,80450.4877495016,15215770.288226262,Earth
2225312,225312 (1996 XB27),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2225312,21.94,0.1087814834,0.2432427915,False,False,1900-09-16,12060.3816584514,32985355.794635672,Earth
2225416,225416 (1999 YC),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2225416,17.36,0.8965096664,2.0046565566,False,False,1910-01-19,96529.4323649759,13498976.619987459,Mars
2226554,226554 (2003 WR21),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2226554,19.62,0.3166321257,0.708010957,True,False,1900-10-30,30027.9671888418,62584103.354537271,Earth
2228368,228368 (2000 WK10),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2228368,18.63,0.4995224099,1.1169660648,True,False,1901-08-22,78359.2390487632,13550151.612869178,Venus
2228502,228502 (2001 TE2),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2228502,20.41,0.2200670271,0.4920848322,False,False,1904-01-27,44422.3418575817,32636501.056648959,Earth
2228587,228587 (2002 AP7),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2228587,19.57,0.3240074354,0.7245026508,False,False,1916-11-22,36570.8232953633,14213910.809672472,Mars
2230089,230089 (2000 WP148),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2230089,19.46,0.3408434689,0.7621491661,False,False,1932-11-23,78401.7947163319,69368533.994496144,Earth
2230118,230118 (2001 DB3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2230118,17.09,1.0152078719,2.2700738128,False,False,1900-04-07,42559.5469122349,74732807.490574763,Earth
